member-id,publisher,prefix,pubs-since-2017,doi-checked,force-https
9385,"Clinical Biotec","10.21931",44,"10.21931/rb/2017.02.04.9",false
9384,"Revista Eletronica Cientifica Ensino Interdisciplinar","10.21920",41,"10.21920/recei72017374152",false
9387,"Open BioMedical Publishing Corporation","10.21926",77,"10.21926/obm.neurobiology.1801",false
9386,"Minneapolis Heart Institute Foundation","10.21925",32,"10.21925/2475-0204-1.1.24",false
9389,"Alma Ata University Press","10.21927",61,"10.21927/jnki.2017.5(1).20-26",false
9388,"Muhendislik Bilimleri ve Tasarim Dergisi","10.21923",88,"10.21923/jesd.63366",false
9391,"University of Human Development","10.21928",115,"10.21928/juhd.20170610.04",false
9390,null,null,0,null,null
9392,null,null,0,null,null
9394,"Corporacion Colombiana de Investigacion Agropecuaria (Corpoica)","10.21930",47,"10.21930/rcta.vol18_num2_art:635",true
9395,"Scholarly Research Journals","10.21922",340,"10.21922/srjis.v4i37.10824",false
9396,"Abanico Veterinario","10.21929",34,"10.21929/abavet2017.72",false
9397,"Komunitas Ilmuwan dan Profesional Muslim Indonesia (KIPMI)","10.21924",14,"10.21924/cst.2.1.2017.43",true
9400,null,null,0,null,null
9403,"Asia Culture Academy of Incorporated Association","10.22143",516,"10.22143/hss21.8.5.53",false
9404,"The Journal of Business Science","10.22139",46,"10.22139/jobs.286671",false
9405,"Publishing House Zaslavsky","10.22141",926,"10.22141/2312-413x.5.1.2017.98772",false
9406,"Institute of International Trade","10.22142",18,"10.22142/atrm.2017.1.2.68",false
9407,"Can Tho University","10.22144",335,"10.22144/ctu.jvn.2017.100",false
9415,"Aspect-Oriented Software Association (AOSA)","10.22152",39,"10.22152/programming-journal.org/2018/2/11",false
9414,"EEEIC International Publishing","10.22149",25,"10.22149/teee.v2i1.87",false
9413,null,null,0,null,null
9412,"International Association for Political Science Students","10.22151",32,"10.22151/politikon.34.4",false
9411,"Universitas Gadjah Mada","10.22146",1424,"10.22146/pcd.25722",true
9410,"Ansari Education and Research Society","10.22147",241,"10.22147/jusps-b/2911",false
9409,null,null,0,null,null
9408,"CA: Journal of Cultural Analytics","10.22148",9,"10.22148/16.013",false
9423,null,null,0,null,null
9422,"Innovare Academic Sciences Pvt Ltd","10.22159",2539,"10.22159/ajpcr.2018.v11i1.22037",true
9421,"AI Publications","10.22161",1501,"10.22161/ijeab/2.6.19",false
9420,"Kalmyk Institute for Humanities of the RAS","10.22162",140,"10.22162/2541-9749-2017-3-1-32-40",false
9419,"Scholink Co, Ltd.","10.22158",439,"10.22158/jbtp.v6n1p12",false
9418,"Association for Future Early Childhood Education","10.22155",73,"10.22155/jfece.24.2.127.149",false
9417,"Korean Society of Children's Literature and Education","10.22154",67,"10.22154/jcle.18.2.4",false
9416,null,null,0,null,null
9428,null,null,0,null,null
9429,null,null,0,null,null
